user,location,text,sentiment,probability
Smith74828486,"Antioquia, Colombia",#Anonymous Gracias #SOSColombiaNosEstanMatando https://t.co/0DGdW5N5k5,Positivo,88
soy__sebas22,"Santa Marta, Colombia",Hasta los entes internacionales están apoyando al pueblo Colombiano. Pero este gobierno hace oídos sordos y nos sig… https://t.co/R2cbfiGGId,Positivo,53
Brian_684,Colombia,"#Anonymous #AnonymousColombia #ParoNacional4M 
#SOSColombiaNosEstanMatando 
#SOSColombiaDDHH… https://t.co/iFLSxVNUpX",Positivo,64
SrzGema,,@SpringIna_ Yo creo que fue #Anonymous,Negativo,47
Ocampo__01,,#Anonymous ORGULLO COLOMBIANO🇦🇲 VAMOS QUE EN ESTA LUCHA NO ESTAMOS SOLOS,Positivo,67
JaromySantiago,,"Colombia mantente fuertee, hermanas y hermanos colombianos resistan, no estan solos, toda latinoamerica los respald… https://t.co/KwWPHFXlZI",Positivo,63
_melanieeeb,,"Será que #Anonymous no puede callar las noticias de @NoticiasCaracol y @NoticiasRCN, hablan tanta basura que solo generan dolor de cabeza.",Negativo,67
johny_ac,"Guadalajara, Jalisco","#ULTIMAHORA Circula una ""supuesta"" lista de tarjetas, filtrada por una cuenta que dice pertenecer al colectivo… https://t.co/lK1WKIhu1g",Positivo,52
DuvanVillanuev2,"Florencia - Caquetá, Colombia",@JDMC3223 Por fa #Anonymous tengo que pagar 1.400.000 antes del 12 de mayo,Positivo,50
jeffreymasrock,,#Anonymous borrenme las foto multas 🙌,Positivo,64
untalzbz,Colombia,Ya tumbaron la página presidencial #Anonymous,Positivo,59
YourAnon_Es,WE ARE ANONYMOUS,"Si algún Anonymous te esta pidiendo tus datos, dinero etc. no es Anonymous, no te dejes engañar, hay gente que se a… https://t.co/gSOE34sSH0",Negativo,52
PablitoTvk,,#Anonymous Tumben las noticias Y pongan Los videos de abuso policial !!!!,Positivo,53
Natillanat,Colombia,Gracias a #Anonymous  Tumbaron la página del Senado #Anonymous https://t.co/CB1PlAl0po,Positivo,85
_Amada_01,Colombia,La democracia y gobernantes no son mala idea la mala idea es cuando pierden el norte y el porque #Anonymous… https://t.co/YWc3JjxV16,Negativo,64
